DateTimeYear,index,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,FlightNumberInfo,LaunchSite
4 July 21:19:36[158]-2020,"7248, 7249, 7250, 7251",Electron,"CE-SAT-IB, ⚀ Flock-4e × 5, ⚀ Faraday-1, Failed during second stage flight.[157]","Canon Inc., Planet Labs, In-Space Missions, Failed during second stage flight.[157]","LEO (SSO), Failed during second stage flight.[157]","Earth observation, Technology demonstration, Failed during second stage flight.[157]","4 July, Failed during second stage flight.[157]","Launch failure, Failed during second stage flight.[157]",,
4 July 23:44[159]-2020,7253,Long March 2D,Shiyan 6-02,CAST,LEO (SSO),Technology demonstration,In orbit,Operational,,
6 July 01:00[160][161]-2020,7255,Shavit-2,Ofek-16,Israel Ministry of Defence,LEO,Reconnaissance,In orbit,Operational,,
9 July 12:11:04[162][163]-2020,7257,Long March 3B/E,APStar 6D,APT Satellite Co.,GEO,Communications,In orbit,Operational,,
10 July 04:17[165][166]-2020,"7259, 7260, 7261",Kuaizhou 11,"Bilibili Video Satellite (Jilin-1 Gaofen-02E)[167], CentiSpace-1 S2 (Xiangrikui 2), ","Chang Guang Satellite Technology, Beijing Future Navigation Technology, First flight of Kuaizhou 11.[164] The rocket failed to reach space.","LEO (SSO), First flight of Kuaizhou 11.[164] The rocket failed to reach space.","Earth observation, Technology demonstration, First flight of Kuaizhou 11.[164] The rocket failed to reach space.","10 July, First flight of Kuaizhou 11.[164] The rocket failed to reach space.","Launch failure, First flight of Kuaizhou 11.[164] The rocket failed to reach space.",First flight,
15 July 13:46[169]-2020,"7263, 7264, 7265, 7266, 7267",Minotaur IV / Orion 38,"USA-305, USA-306, USA-307, USA-308, NROL-129 mission.[168]","NRO, NROL-129 mission.[168]","LEO, NROL-129 mission.[168]","Reconnaissance, NROL-129 mission.[168]","In orbit, NROL-129 mission.[168]","Operational, NROL-129 mission.[168]",,
19 July 21:58:14[170][171]-2020,"7269, 7270",H-IIA 202[172],"Hope (Al-Amal), Emirates Mars Mission; first Emirati space probe.","Mohammed bin Rashid Space Centre, Emirates Mars Mission; first Emirati space probe.","TMI to Areocentric, Emirates Mars Mission; first Emirati space probe.","Mars orbiter, Emirates Mars Mission; first Emirati space probe.","In orbit, Emirates Mars Mission; first Emirati space probe.","Operational, Emirates Mars Mission; first Emirati space probe.",,
20 July 21:30[173]-2020,"7272, 7273",Falcon 9 Block 5,"ANASIS-II[174], South Korea's first dedicated military communications satellite.","Republic of Korea Army, South Korea's first dedicated military communications satellite.","GEO, South Korea's first dedicated military communications satellite.","Military communications, South Korea's first dedicated military communications satellite.","In orbit, South Korea's first dedicated military communications satellite.","Operational, South Korea's first dedicated military communications satellite.",,
23 July 04:41[175]-2020,"7275, 7276, 7277, 7278",Long March 5,"Tianwen-1, Tianwen-1 Deployable Camera, Drop Camera[176], China's first independent Mars mission.","CNSA, China's first independent Mars mission.","TMI to Areocentric, TMI (Martian flyby), China's first independent Mars mission.","Mars orbiter and rover, Photography, Mars lander / Photography, China's first independent Mars mission.","In orbit, China's first independent Mars mission.","Operational, Successful, China's first independent Mars mission.",,
23 July 14:26:21[179]-2020,"7280, 7281",Soyuz-2.1a,"Progress MS-15 / 76P, It was initially planned for this Progress vehicle to deorbit the Pirs module to make way for the arrival of Nauka in early 2021. This was later delayed to a subsequent mission.[177][178] 100th Soyuz-2 launch.","Roscosmos, It was initially planned for this Progress vehicle to deorbit the Pirs module to make way for the arrival of Nauka in early 2021. This was later delayed to a subsequent mission.[177][178] 100th Soyuz-2 launch.","LEO (ISS), It was initially planned for this Progress vehicle to deorbit the Pirs module to make way for the arrival of Nauka in early 2021. This was later delayed to a subsequent mission.[177][178] 100th Soyuz-2 launch.","ISS logistics, It was initially planned for this Progress vehicle to deorbit the Pirs module to make way for the arrival of Nauka in early 2021. This was later delayed to a subsequent mission.[177][178] 100th Soyuz-2 launch.","9 February 2021 09:13[180], It was initially planned for this Progress vehicle to deorbit the Pirs module to make way for the arrival of Nauka in early 2021. This was later delayed to a subsequent mission.[177][178] 100th Soyuz-2 launch.","Successful, It was initially planned for this Progress vehicle to deorbit the Pirs module to make way for the arrival of Nauka in early 2021. This was later delayed to a subsequent mission.[177][178] 100th Soyuz-2 launch.",,
25 July 03:13[181][182]-2020,"7283, 7284, 7285",Long March 4B,"Ziyuan III-03, Tianqi-10, Lobster Eye X-ray Explorer (NJU-HKU №1)[183][184]","Ministry of Natural Resources, Guodian Gaoke, NJU / HKU",LEO (SSO),"Earth observation, Technology demonstration, X-ray astronomy",In orbit,Operational,,
30 July 11:50[186]-2020,"7287, 7288, 7289",Atlas V 541,"Perseverance, Ingenuity, Mars 2020 mission.[185]","NASA / JPL, Mars 2020 mission.[185]","TMI to Martian surface, Mars 2020 mission.[185]","Mars rover, Mars aircraft, Mars 2020 mission.[185]","18 February 2021 20:43:42[187], Mars 2020 mission.[185]","Landed on Mars; Operational, Landed on Mars, Mars 2020 mission.[185]",,
30 July 21:25:19[188]-2020,"7291, 7292",Proton-M / Briz-M P4,"Ekspress-80, Ekspress-103",RSCC,GEO,Communications,In orbit,Operational,,
6 August 04:01:54[189][190]-2020,"7295, 7296",Long March 2D,"Gaofen 9-04, Q-SAT[191]","CNSA, Tsinghua University",LEO (SSO),"Earth observation, Gravitational research Atmospheric science",In orbit,Operational,,
7 August 05:12:05[194]-2020,"7298, 7299, 7300, 7301",Falcon 9 Block 5,"Starlink × 57, BlackSky 5 (Global-7), BlackSky 6 (Global-8), Starlink SmallSat Rideshare mission to deploy BlackSky Global 7 and 8;[192] first Starlink rideshare contracted with Spaceflight Industries, dubbed ""SXRS-1"".[193]","SpaceX, BlackSky Global, Starlink SmallSat Rideshare mission to deploy BlackSky Global 7 and 8;[192] first Starlink rideshare contracted with Spaceflight Industries, dubbed ""SXRS-1"".[193]","LEO, Starlink SmallSat Rideshare mission to deploy BlackSky Global 7 and 8;[192] first Starlink rideshare contracted with Spaceflight Industries, dubbed ""SXRS-1"".[193]","Communications, Earth observation, Starlink SmallSat Rideshare mission to deploy BlackSky Global 7 and 8;[192] first Starlink rideshare contracted with Spaceflight Industries, dubbed ""SXRS-1"".[193]","In orbit, 23 October 2023[195], Starlink SmallSat Rideshare mission to deploy BlackSky Global 7 and 8;[192] first Starlink rideshare contracted with Spaceflight Industries, dubbed ""SXRS-1"".[193]","Operational, Successful, Starlink SmallSat Rideshare mission to deploy BlackSky Global 7 and 8;[192] first Starlink rideshare contracted with Spaceflight Industries, dubbed ""SXRS-1"".[193]",,
15 August 22:04[197]-2020,"7303, 7304, 7305, 7306",Ariane 5 ECA,"BSAT-4b, Galaxy 30, MEV-2, MEV-2 successfully docked with Intelsat 10-02 on 12 April 2021.[196]","BSAT, Intelsat, Northrop Grumman, MEV-2 successfully docked with Intelsat 10-02 on 12 April 2021.[196]","GEO, MEV-2 successfully docked with Intelsat 10-02 on 12 April 2021.[196]","Communications, Satellite servicing, MEV-2 successfully docked with Intelsat 10-02 on 12 April 2021.[196]","In orbit, MEV-2 successfully docked with Intelsat 10-02 on 12 April 2021.[196]","Operational, MEV-2 successfully docked with Intelsat 10-02 on 12 April 2021.[196]",,
18 August 14:31:16[198]-2020,"7308, 7309, 7310",Falcon 9 Block 5,"Starlink × 58, SkySat 19–21[199], Starlink SmallSat Rideshare mission to deploy SkySat 19–21.","SpaceX, Planet Labs, Starlink SmallSat Rideshare mission to deploy SkySat 19–21.","LEO, Starlink SmallSat Rideshare mission to deploy SkySat 19–21.","Communications, Earth observation, Starlink SmallSat Rideshare mission to deploy SkySat 19–21.","In orbit, 18, 20: In orbit 19: 26 June 2023[200], Starlink SmallSat Rideshare mission to deploy SkySat 19–21.","Operational, Starlink SmallSat Rideshare mission to deploy SkySat 19–21.",,
23 August 02:27:04[201][202]-2020,"7312, 7313, 7314",Long March 2D,"Gaofen 9-05, Tiantuo-5, Duo Gongneng Shiyan Weixing","CNSA, NUDT, AMS",LEO (SSO),"Earth observation, Technology demonstration",In orbit,Operational,,
30 August 23:18:56[203]-2020,"7316, 7317, 7318, 7319",Falcon 9 Block 5,"SAOCOM 1B, ⚀ EG-2 (Tyvak-0172)[204][205], ⚀ GNOMES-1[206], First polar orbit mission from Cape Canaveral Air Force Station since ESSA-9 in 1969. SmallSat Rideshare mission to deploy Tyvak-0172 and GNOMES-1.","CONAE, EchoStar, PlanetIQ, First polar orbit mission from Cape Canaveral Air Force Station since ESSA-9 in 1969. SmallSat Rideshare mission to deploy Tyvak-0172 and GNOMES-1.",LEO (SSO),"Earth observation, Technology demonstration, Radio occultation, First polar orbit mission from Cape Canaveral Air Force Station since ESSA-9 in 1969. SmallSat Rideshare mission to deploy Tyvak-0172 and GNOMES-1.","In orbit, First polar orbit mission from Cape Canaveral Air Force Station since ESSA-9 in 1969. SmallSat Rideshare mission to deploy Tyvak-0172 and GNOMES-1.","Operational, Spacecraft failure, First polar orbit mission from Cape Canaveral Air Force Station since ESSA-9 in 1969. SmallSat Rideshare mission to deploy Tyvak-0172 and GNOMES-1.",,First polar orbit mission from Cape Canaveral Air Force Station since ESSA-9 in 1969. SmallSat Rideshare mission to deploy Tyvak-0172 and GNOMES-1.
31 August 03:05:47[207]-2020,"7321, 7322, 7323",Electron,"Capella-2 (Sequoia), Photon (First Light), Return-to-flight mission for Electron. Second launch of the Photon satellite bus.","Capella Space, Rocket Lab, Return-to-flight mission for Electron. Second launch of the Photon satellite bus.","LEO, Return-to-flight mission for Electron. Second launch of the Photon satellite bus.","Earth observation, Flight test, Return-to-flight mission for Electron. Second launch of the Photon satellite bus.","28 February 2023[208], In orbit, Return-to-flight mission for Electron. Second launch of the Photon satellite bus.","Successful, Operational[209], Return-to-flight mission for Electron. Second launch of the Photon satellite bus.",,
3 September 01:51:10[217][218]-2020,"7326, 7327, 7328, 7329, 7330, 7331, 7332, 7333, 7334, 7335, 7336, 7337, 7338, 7339, 7340, 7341, 7342, 7343, 7344, 7345, 7346, 7347",Vega,"ION SCV-001 Lucas[210], Athena, ESAIL[210], GHGSat-C1 (Iris)[221][211], NEMO-HD[210][211], ÑuSat 6 (Hypatia)[222], UPM-Sat 2[210], ⚀ AMICal SAT[210], ⚀ DIDO-3[211], ⚀ Flock-4v × 26[223], ⚀ FSSCAT A and B[211][224], ⚀ Lemur-2 × 8[210], ⚀ OSM-1 Cicero[215][225], ⚀ NAPA-1 (RTAFSAT-1)[211][226], ⚀ PICASSO[211], ⚀ SIMBA[211], ⚀ SpaceBEE × 12[210], ⚀ TARS[210], ⚀ TRISAT[211], ⚀ TTÜ100[211], ⚀ EG-1 (Tyvak-0171)[210][204][205], Small Satellites Mission Service Proof of Concept (SSMS PoC) mission.[210][211] Return to flight for Vega after the July 2019 launch failure. 53 satellites were deployed by the SSMS dispenser, including 14 Flock CubeSats carried on SSMS QuadPack deployers, while 12 additional Flock CubeSats were deployed separately by the ION SCV LUCAS satellite.[212][210][213] NEMO-HD and TRISAT are Slovenia's first satellites,[214] and OSM-1 Cicero is Monaco's first satellite.[215] Two of the Lemur-2 CubeSats failed to deploy, leading them to de-orbit along with the fourth stage of the Vega booster.[216]","D-Orbit, Facebook[220], exactEarth, GHGSat, UTIAS / Space-SI, Satellogic, UPM, CSUG / MSU, SpacePharma / ISA / ASI, Planet Labs, UPC, Spire Global, OSM, RTAF, BIRA-IASB, RMI, Swarm Technologies, Kepler Communications, University of Maribor, TalTech, EchoStar, Small Satellites Mission Service Proof of Concept (SSMS PoC) mission.[210][211] Return to flight for Vega after the July 2019 launch failure. 53 satellites were deployed by the SSMS dispenser, including 14 Flock CubeSats carried on SSMS QuadPack deployers, while 12 additional Flock CubeSats were deployed separately by the ION SCV LUCAS satellite.[212][210][213] NEMO-HD and TRISAT are Slovenia's first satellites,[214] and OSM-1 Cicero is Monaco's first satellite.[215] Two of the Lemur-2 CubeSats failed to deploy, leading them to de-orbit along with the fourth stage of the Vega booster.[216]","LEO (SSO), Small Satellites Mission Service Proof of Concept (SSMS PoC) mission.[210][211] Return to flight for Vega after the July 2019 launch failure. 53 satellites were deployed by the SSMS dispenser, including 14 Flock CubeSats carried on SSMS QuadPack deployers, while 12 additional Flock CubeSats were deployed separately by the ION SCV LUCAS satellite.[212][210][213] NEMO-HD and TRISAT are Slovenia's first satellites,[214] and OSM-1 Cicero is Monaco's first satellite.[215] Two of the Lemur-2 CubeSats failed to deploy, leading them to de-orbit along with the fourth stage of the Vega booster.[216]","CubeSat deployer, Communications, AIS ship tracking, Earth observation, Technology demonstration Education, Auroral science, Microgravity research, Radio occultation, Atmospheric research, Technology demonstration, Education, Small Satellites Mission Service Proof of Concept (SSMS PoC) mission.[210][211] Return to flight for Vega after the July 2019 launch failure. 53 satellites were deployed by the SSMS dispenser, including 14 Flock CubeSats carried on SSMS QuadPack deployers, while 12 additional Flock CubeSats were deployed separately by the ION SCV LUCAS satellite.[212][210][213] NEMO-HD and TRISAT are Slovenia's first satellites,[214] and OSM-1 Cicero is Monaco's first satellite.[215] Two of the Lemur-2 CubeSats failed to deploy, leading them to de-orbit along with the fourth stage of the Vega booster.[216]","In orbit, Small Satellites Mission Service Proof of Concept (SSMS PoC) mission.[210][211] Return to flight for Vega after the July 2019 launch failure. 53 satellites were deployed by the SSMS dispenser, including 14 Flock CubeSats carried on SSMS QuadPack deployers, while 12 additional Flock CubeSats were deployed separately by the ION SCV LUCAS satellite.[212][210][213] NEMO-HD and TRISAT are Slovenia's first satellites,[214] and OSM-1 Cicero is Monaco's first satellite.[215] Two of the Lemur-2 CubeSats failed to deploy, leading them to de-orbit along with the fourth stage of the Vega booster.[216]","Operational[219], Operational, Operational (6/8), Partial spacecraft failure; Operational, Small Satellites Mission Service Proof of Concept (SSMS PoC) mission.[210][211] Return to flight for Vega after the July 2019 launch failure. 53 satellites were deployed by the SSMS dispenser, including 14 Flock CubeSats carried on SSMS QuadPack deployers, while 12 additional Flock CubeSats were deployed separately by the ION SCV LUCAS satellite.[212][210][213] NEMO-HD and TRISAT are Slovenia's first satellites,[214] and OSM-1 Cicero is Monaco's first satellite.[215] Two of the Lemur-2 CubeSats failed to deploy, leading them to de-orbit along with the fourth stage of the Vega booster.[216]",,
