DateTime,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,Year
,Long March 3B/YZ-1,BeiDou M1-S,CNSA,Medium Earth,Navigation,In orbit,Operational,2015
,Long March 3B/YZ-1,BeiDou M2-S,CNSA,Medium Earth,Navigation,In orbit,Operational,2015
,H-IIB,HTV-5,JAXA,Low Earth (ISS),ISS resupply,29 September 2015,Successful,2015
,H-IIB,⚀ AAUSAT5,Aalborg,Low Earth,Technology demonstration,15 March 2016,Successful,2015
,H-IIB,⚀ Flock-2b × 14,Planet Labs,Low Earth,Earth observation,First: 22 May 2016 Last: 17 October 2016,Successful (12 deployed),2015
,H-IIB,⚀ GOMX-3,GomSpace,Low Earth,Technology demonstration,19 October 2016[19],Successful,2015
,H-IIB,⚀ SERPENS,University of Brasília / Brazilian Space Agency,Low Earth,Technology demonstration,27 March 2016,Successful,2015
,H-IIB,"CubeSats to be deployed from the International Space Station at a later date. SERPENS and S-CUBE were deployed on 17 September. AAUSAT5, GOMX-3, and Dove Flocks were deployed on 5–7 October, but two out of the fourteen Dove Flocks failed to be deployed due to a malfunction of the deployer.","CubeSats to be deployed from the International Space Station at a later date. SERPENS and S-CUBE were deployed on 17 September. AAUSAT5, GOMX-3, and Dove Flocks were deployed on 5–7 October, but two out of the fourteen Dove Flocks failed to be deployed due to a malfunction of the deployer.[17]","CubeSats to be deployed from the International Space Station at a later date. SERPENS and S-CUBE were deployed on 17 September. AAUSAT5, GOMX-3, and Dove Flocks were deployed on 5–7 October, but two out of the fourteen Dove Flocks failed to be deployed due to a malfunction of the deployer.[17]","CubeSats to be deployed from the International Space Station at a later date. SERPENS and S-CUBE were deployed on 17 September. AAUSAT5, GOMX-3, and Dove Flocks were deployed on 5–7 October, but two out of the fourteen Dove Flocks failed to be deployed due to a malfunction of the deployer.[17]","CubeSats to be deployed from the International Space Station at a later date. SERPENS and S-CUBE were deployed on 17 September. AAUSAT5, GOMX-3, and Dove Flocks were deployed on 5–7 October, but two out of the fourteen Dove Flocks failed to be deployed due to a malfunction of the deployer.[17]","CubeSats to be deployed from the International Space Station at a later date. SERPENS and S-CUBE were deployed on 17 September. AAUSAT5, GOMX-3, and Dove Flocks were deployed on 5–7 October, but two out of the fourteen Dove Flocks failed to be deployed due to a malfunction of the deployer.",2015
,Ariane 5 ECA,Eutelsat 8 West B,Eutelsat,Geosynchronous,Communications,In orbit,Operational,2015
,Ariane 5 ECA,Intelsat 34,Intelsat,Geosynchronous,Communications,In orbit,Operational,2015
,Long March 4C,Yaogan 27,CNSA,Low Earth (SSO),Reconnaissance,In orbit,Operational,2015
,GSLV Mk II,GSAT-6,Indian Armed Forces/ISRO,Geosynchronous,Communications,In orbit,Operational,2015
,Proton-M / Briz-M,Inmarsat 5-F3,Inmarsat,Geosynchronous,Communications,In orbit,Operational,2015
,Soyuz-FG,Soyuz TMA-18M,Roscosmos,Low Earth (ISS),Expedition 45/46/iriss[23],2 March 2016 04:26,Successful,2015
,Atlas V 551,MUOS-4,U.S. Navy,Geosynchronous,Communications,In orbit,Operational,2015
,Soyuz-STB / Fregat,Galileo FOC 5,ESA,Medium Earth,Navigation,In orbit,Operational,2015
,Soyuz-STB / Fregat,Galileo FOC 6,ESA,Medium Earth,Navigation,In orbit,Operational,2015
,Long March 3B/E,TJS-1,CNSA,Geosynchronous,Communications,In orbit,Operational,2015
,Long March 2D,Gaofen 9,CNSA,Low Earth (SSO),Earth observation / Reconnaissance,In orbit,Operational,2015
,Proton-M / Blok DM-03,Ekspress AM8,RSCC,Geosynchronous,Communications,In orbit,Operational,2015
,Long March 6,LilacSat-2,HIT,Low Earth (SSO),Technology demonstration,In orbit,Operational,2015
,Long March 6,NS-2,Tsinghua University,Low Earth (SSO),Technology demonstration,In orbit,Operational,2015
,Long March 6,NUDT-PhoneSat,NUDT,Low Earth (SSO),Technology demonstration,29 March 2023[24],Successful,2015
,Long March 6,Tiantuo-3,NUDT,Low Earth (SSO),Technology demonstration,In orbit,Operational,2015
,Long March 6,Xingchen 1,NUDT,Low Earth (SSO),Technology demonstration,In orbit,Operational,2015
,Long March 6,Xingchen 2,NUDT,Low Earth (SSO),Technology demonstration,In orbit,Operational,2015
,Long March 6,Xingchen 3,NUDT,Low Earth (SSO),Technology demonstration,In orbit,Operational,2015
,Long March 6,Xingchen 4,NUDT,Low Earth (SSO),Technology demonstration,In orbit,Operational,2015
,Long March 6,Xiwang-2A,CAMSAT,Low Earth (SSO),Amateur radio,25 April 2023[25],Successful,2015
,Long March 6,Xiwang-2B,CAMSAT,Low Earth (SSO),Amateur radio,In orbit,Operational,2015
,Long March 6,Xiwang-2C,CAMSAT,Low Earth (SSO),Amateur radio,In orbit,Operational,2015
,Long March 6,Xiwang-2D,CAMSAT,Low Earth (SSO),Amateur radio,In orbit,Operational,2015
,Long March 6,Xiwang-2E,CAMSAT,Low Earth (SSO),Amateur radio,In orbit,Operational,2015
,Long March 6,Xiwang-2F,CAMSAT,Low Earth (SSO),Amateur radio,In orbit,Operational,2015
,Long March 6,XY-2,CASC,Low Earth (SSO),Technology demonstration,In orbit,Operational,2015
,Long March 6,ZDPS-2A,ZJU,Low Earth (SSO),Technology demonstration,In orbit,Operational,2015
,Long March 6,ZDPS-2B,ZJU,Low Earth (SSO),Technology demonstration,In orbit,Operational,2015
,Long March 6,ZJ-1,Tsinghua University,Low Earth (SSO),Technology demonstration,In orbit,Operational,2015
,Long March 6,ZJ-2,Tsinghua / Xidian,Low Earth (SSO),Technology demonstration,In orbit,Operational,2015
,Long March 6,⚀ DCBB,CAMSAT,Low Earth (SSO),Education,In orbit,Operational,2015
,Rokot / Briz-KM,Kosmos 2507 (Strela-3M),VKO,Low Earth,Communications,In orbit,Operational,2015
,Rokot / Briz-KM,Kosmos 2508 (Strela-3M),VKO,Low Earth,Communications,In orbit,Operational,2015
,Rokot / Briz-KM,Kosmos 2509 (Strela-3M),VKO,Low Earth,Communications,In orbit,Operational,2015
,Long March 11,Pujiang-1,SAST,Low Earth (SSO),Technology demonstration,In orbit,Operational,2015
,Long March 11,⚀ Tianwang 1A (Shankeda 2),ShanghaiTech,Low Earth (SSO),Technology demonstration,30 December 2022[26],Successful,2015
,Long March 11,⚀ Tianwang 1B (NJUST 2),NJUST,Low Earth (SSO),Technology demonstration,31 March 2021[27],Successful,2015
,Long March 11,⚀ Tianwang 1C (NJFA 1),ShanghaiTech,Low Earth (SSO),Technology demonstration,27 February 2021[28],Successful,2015
,PSLV-XL,Astrosat,ISRO,Low Earth,X-ray astronomy,In orbit,Operational,2015
,PSLV-XL,LAPAN-A2,LAPAN,Low Earth,Earth observation,In orbit,Operational,2015
,PSLV-XL,ExactView 9,exactEarth,Low Earth,Maritime observation,In orbit,Operational,2015
,PSLV-XL,⚀ Lemur-2 1,NanoSatisfi,Low Earth,Earth observation,In orbit,Operational,2015
,PSLV-XL,⚀ Lemur-2 2,NanoSatisfi,Low Earth,Earth observation,In orbit,Operational,2015
,PSLV-XL,⚀ Lemur-2 3,NanoSatisfi,Low Earth,Earth observation,In orbit,Operational,2015
,PSLV-XL,⚀ Lemur-2 4,NanoSatisfi,Low Earth,Earth observation,In orbit,Operational,2015
,Long March 3B/E,BeiDou I2-S,CNSA,Geosynchronous,Navigation,In orbit,Operational,2015
,Ariane 5 ECA,NBN-Co 1A (Sky Muster),NBN Co,Geosynchronous,Communications,In orbit,Operational,2015
,Ariane 5 ECA,ARSAT-2,ARSAT,Geosynchronous,Communications,In orbit,Operational,2015
,Soyuz-U,Progress M-29M / 61P,Roscosmos,Low Earth (ISS),ISS resupply,8 April 2016,Successful,2015
,Atlas V 421,Mexsat-2,SCT,Geosynchronous,Communications,In orbit,Operational,2015
,Long March 2D,Jilin-1 Smart Verification Satellite,Chang Guang Satellite Technology,Low Earth (SSO),Earth observation,In orbit,Operational,2015
,Long March 2D,Jilin-1 Optical-A,Chang Guang Satellite Technology,Low Earth (SSO),Earth observation,In orbit,Operational,2015
,Long March 2D,Jilin-1 Video-01 (Lingqiao 1-01),Chang Guang Satellite Technology,Low Earth (SSO),Earth observation,In orbit,Operational,2015
,Long March 2D,Jilin-1 Video-02 (Lingqiao 1-02),Chang Guang Satellite Technology,Low Earth (SSO),Earth observation,In orbit,Operational,2015
,Atlas V 401,USA-264 (NOSS),NRO,Low Earth,ELINT,In orbit,Operational,2015
,Atlas V 401,USA-264 (NOSS),NRO,Low Earth,ELINT,In orbit,Operational,2015
,Atlas V 401,⚀ Aerocube-5c,The Aerospace Corporation,Low Earth,Technology demonstration,In orbit,Operational,2015
,Atlas V 401,⚀ Aerocube-7,The Aerospace Corporation,Low Earth,Technology demonstration,In orbit,Operational,2015
,Atlas V 401,⚀ AMSAT Fox-1,AMSAT,Low Earth,Amateur radio / Technology demonstration,In orbit,Operational,2015
,Atlas V 401,⚀ ARC-1,UAF,Low Earth,Technology demonstration,In orbit,Operational,2015
,Atlas V 401,⚀ BisonSat,SKC,Low Earth,Earth observation,In orbit,Operational,2015
,Atlas V 401,⚀ LMRST-Sat,NASA / JPL,Low Earth,Technology demonstration,In orbit,Operational,2015
,Atlas V 401,⚀ PropCube x 2,Tyvak Nano-Satellite Systems,Low Earth,Technology demonstration,In orbit,Operational,2015
,Atlas V 401,⚀ SINOD-D x 2,SRI International,Low Earth,Technology demonstration,In orbit,Operational,2015
,Atlas V 401,⚀ SNaP-3 x 3,U.S. Army SMDC,Low Earth,Technology demonstration,In orbit,Operational,2015
,Atlas V 401,NRO Launch 55,NRO Launch 55,NRO Launch 55,NRO Launch 55,NRO Launch 55,NRO Launch 55,2015
,Long March 3B/E,APStar-9,APT Satellite Holdings,Geosynchronous,Communications,In orbit,Operational,2015
,Proton-M / Briz-M,Türksat 4B,Türksat,Geosynchronous,Communications,In orbit,Operational,2015
,Long March 2D,Tianhui 1C,CNSA,Low Earth (SSO),Earth observation (Cartography),In orbit,Operational,2015
,Atlas V 401,USA-265 (GPS IIF-11),U.S. Air Force,Medium Earth,Navigation,In orbit,Operational,2015
,Atlas V 401,Named after Star Altair.,Named after Star Altair.,Named after Star Altair.,Named after Star Altair.,Named after Star Altair.,Named after Star Altair.,2015
,Long March 3B/E,ChinaSat 2C,CNSA,Geosynchronous,Communications,In orbit,Operational,2015
,SPARK,HiakaSat,ORS,Low Earth,Technology demonstration,4 November 2015,Launch failure,2015
,SPARK,⚀ EDSN x 8,NASA,Low Earth,Technology demonstration,4 November 2015,Launch failure,2015
,SPARK,⚀ PrintSat,Montana State University,Low Earth,Technology demonstration,4 November 2015,Launch failure,2015
,SPARK,⚀ Argus,St. Louis University and Vanderbilt University,Low Earth,Technology demonstration,4 November 2015,Launch failure,2015
,SPARK,⚀ STACEM,Utah State University,Low Earth,Technology demonstration,4 November 2015,Launch failure,2015
,SPARK,⚀ Supernova-Beta,"Pumpkin, Inc.",Low Earth,Technology demonstration,4 November 2015,Launch failure,2015
,Long March 4B,Yaogan 28,CNSA,Low Earth (SSO),Reconnaissance,In orbit,Operational,2015
,Ariane 5 ECA,Arabsat 6B,Arabsat,Geosynchronous,Communications,In orbit,Operational,2015
,Ariane 5 ECA,GSAT-15,ISRO,Geosynchronous,Communications,In orbit,Operational,2015
,Soyuz-2.1b / Fregat,Kosmos 2510 (EKS (Tundra)),VKO,Molniya[33],Early warning,In orbit,Operational,2015
,Soyuz-2.1b / Fregat,First space component for Russia's new unified missile early warning network.,First space component for Russia's new unified missile early warning network.[32],First space component for Russia's new unified missile early warning network.[32],First space component for Russia's new unified missile early warning network.[32],First space component for Russia's new unified missile early warning network.[32],First space component for Russia's new unified missile early warning network.,2015
,Long March 3B/E,LaoSat-1,Laos National Authority for Science and Technology,Geosynchronous,Communications,In orbit,Operational,2015
,Long March 3B/E,First Laotian satellite,First Laotian satellite[35],First Laotian satellite[35],First Laotian satellite[35],First Laotian satellite[35],First Laotian satellite,2015
,H-IIA 204,Telstar 12V,Telesat,Geosynchronous,Communications,In orbit,Operational,2015
,Long March 4C,Yaogan 29,CNSA,Low Earth (SSO),Reconnaissance,In orbit,Operational,2015
,Vega,LISA Pathfinder,ESA / NASA,Sun–Earth L1,Technology demonstration,In orbit,Operational,2015
,Soyuz-2-1v / Volga,Kosmos 2511 (Kanopus-ST),VKO,Low Earth (SSO),Earth observation,8 December 2015 05:43,Launch failure,2015
,Soyuz-2-1v / Volga,Kosmos 2512 (KYuA-1),Almaz-Antey,Low Earth (SSO),Radar calibration,In orbit,Operational,2015
,Soyuz-2-1v / Volga,Kanopus-ST failed to separate from the Volga upper stage.,Kanopus-ST failed to separate from the Volga upper stage.[36][37],Kanopus-ST failed to separate from the Volga upper stage.[36][37],Kanopus-ST failed to separate from the Volga upper stage.[36][37],Kanopus-ST failed to separate from the Volga upper stage.[36][37],Kanopus-ST failed to separate from the Volga upper stage.,2015
,Atlas V 401,Cygnus CRS OA-4 S.S. Deke Slayton II,Orbital ATK / NASA,Low Earth (ISS),ISS resupply,20 February 2016,Successful,2015
,Atlas V 401,SIMPL,NovaWurks,Low Earth,Technology demonstration,26 July 2022[40],Successful,2015
,Atlas V 401,⚀ Flock-2e x 12,Planet Labs,Low Earth,Earth observation,First: 25 July 2017[41] Last: 14 August 2018[42],Successful,2015
,Atlas V 401,⚀ CADRE,University of Michigan,Low Earth,Technology demonstration,3 January 2017[43],Successful,2015
,Atlas V 401,⚀ MinXSS 1,University of Colorado Boulder,Low Earth,"Solar physics, Space weather",5 May 2017[44],Successful,2015
,Atlas V 401,⚀ Nodes x 2,NASA,Low Earth,Technology demonstration,23 September 2017[45],Successful,2015
,Atlas V 401,⚀ STMSat 1,St. Thomas More Cathedral School,Low Earth,Education,21 April 2017[46],Successful,2015
,Atlas V 401,Flight moved from Antares 130 rocket following launch failure of Cygnus CRS Orb-3. Originally scheduled for 1 April 2015. MinXSS was deployed into orbit from ISS on 16 May 2016.,Flight moved from Antares 130 rocket following launch failure of Cygnus CRS Orb-3. Originally scheduled for 1 April 2015.[38] MinXSS was deployed into orbit from ISS on 16 May 2016.[39],Flight moved from Antares 130 rocket following launch failure of Cygnus CRS Orb-3. Originally scheduled for 1 April 2015.[38] MinXSS was deployed into orbit from ISS on 16 May 2016.[39],Flight moved from Antares 130 rocket following launch failure of Cygnus CRS Orb-3. Originally scheduled for 1 April 2015.[38] MinXSS was deployed into orbit from ISS on 16 May 2016.[39],Flight moved from Antares 130 rocket following launch failure of Cygnus CRS Orb-3. Originally scheduled for 1 April 2015.[38] MinXSS was deployed into orbit from ISS on 16 May 2016.[39],Flight moved from Antares 130 rocket following launch failure of Cygnus CRS Orb-3. Originally scheduled for 1 April 2015. MinXSS was deployed into orbit from ISS on 16 May 2016.,2015
,Long March 3B/E,ChinaSat 1C,CNSA,Geosynchronous,Communications,In orbit,Operational,2015
,Zenit-3F,Elektro-L No.2,Roscosmos,Geosynchronous,Meteorology,In orbit,Operational,2015
,Proton-M / Briz-M,Kosmos 2513 (Garpun No. 12L),VKO,Geosynchronous,Communications,In orbit,Operational,2015
,Soyuz-FG,Soyuz TMA-19M,Roscosmos,Low Earth (ISS),Expedition 46/47,18 June 2016 09:15,Successful,2015
,PSLV-CA,TeLEOS-1,AgilSpace,Low Earth,Earth observation,In orbit,Operational,2015
,PSLV-CA,VELOX C1,NTU,Low Earth,Atmospheric science,In orbit,Operational,2015
,PSLV-CA,⚀ VELOX 2,NTU,Low Earth,Technology demonstration,In orbit,Operational,2015
,PSLV-CA,Kent Ridge 1,NUS,Low Earth,Earth observation,In orbit,Operational,2015
,PSLV-CA,⚀ Galassia,NUS,Low Earth,Atmospheric science,In orbit,Operational,2015
,PSLV-CA,⚀ Athenoxat-1,NTU,Low Earth,Earth observation,In orbit,Operational,2015
,Long March 2D,DAMPE,CAS,Low Earth (SSO),High-energy astronomy,In orbit,Operational,2015
,Soyuz ST-B / Fregat,Galileo FOC 8,ESA,Medium Earth,Navigation,In orbit,Operational,2015
,Soyuz ST-B / Fregat,Galileo FOC 9,ESA,Medium Earth,Navigation,In orbit,Operational,2015
,Soyuz-2.1a,Progress MS-01 / 62P,Roscosmos,Low Earth (ISS),ISS resupply,3 July 2016 07:50,Operational,2015
,Soyuz-2.1a,First launch of the new Progress-MS variant.,First launch of the new Progress-MS variant.,First launch of the new Progress-MS variant.,First launch of the new Progress-MS variant.,First launch of the new Progress-MS variant.,First launch of the new Progress-MS variant.,2015
